60.167.201.95	8118
121.204.165.167	8118
121.204.165.98	8118
120.1.34.49	8118
120.92.3.127	80
122.72.32.73	80
124.88.67.52	843
124.88.67.16	80
183.166.149.97	808
124.88.67.10	80
119.53.136.53	8118
121.204.165.13	8118
222.61.20.147	808
115.195.167.51	8118
111.160.141.42	63000
171.118.128.30	8118
119.108.225.3	8118
106.56.14.200	8998
183.62.76.5	3128
112.234.12.78	8118
113.6.137.72	8118
101.224.34.146	8118
112.109.137.210	8118
115.200.174.104	8998
113.0.74.30	8118
180.120.207.13	8088
114.231.241.170	8088
121.204.165.79	8118
124.91.24.66	8118
220.166.240.83	8118
180.113.221.29	8118
1.63.239.136	8118
119.254.92.52	80
121.204.165.212	8118
49.67.167.157	8088
180.121.167.111	8088
121.204.165.114	8118
113.64.15.75	8118
119.53.246.14	8118
180.121.163.156	8088
112.87.146.150	8118
175.43.168.204	808
223.242.48.199	808
27.224.234.183	8998
114.232.219.77	8088
49.64.134.7	808
171.217.2.170	8118
211.155.17.236	80
218.65.30.79	808
125.121.115.101	808
114.232.170.177	8088
124.93.251.11	808
121.237.38.219	8118
218.86.128.60	8118
183.140.208.196	8998
122.236.183.227	8998
218.23.55.187	8998
219.157.198.169	8118
123.131.109.29	8118
114.232.117.148	8088
110.84.239.208	8118
125.122.116.40	808
121.204.165.82	37564
114.239.116.85	8118
125.121.122.37	808
61.143.158.238	808
119.186.39.136	8118
114.232.217.107	8088
121.204.165.96	8118
14.112.64.151	8118
125.118.78.198	808
183.158.125.48	808
60.4.246.113	8118
125.118.75.146	808
180.121.164.23	8088
125.118.146.19	808
114.232.104.202	8088
122.228.179.178	80
114.232.82.131	8088
114.231.153.231	8088
123.235.197.204	8118
220.184.143.187	8118
60.216.168.89	8118
114.232.9.31	8088
42.48.39.35	808
113.25.241.12	8118
125.118.148.224	808
1.87.198.119	8118
183.141.154.216	3128
121.42.195.171	808
60.169.78.218	808
221.220.79.58	8118
121.61.100.52	8118
123.165.117.192	8118
123.57.245.150	80
113.227.90.223	8118
180.121.248.244	808
125.118.148.18	808
222.95.202.166	808
106.110.54.138	808
121.238.147.44	808
49.73.170.56	808
124.235.180.229	80
125.121.120.100	808
115.211.168.125	808
114.246.137.29	8118
121.228.114.130	8118
114.232.104.165	8088
182.241.194.32	8998
124.92.84.134	8118
182.90.52.236	80
180.121.253.123	808
58.42.215.90	8998
114.232.161.109	8088
121.42.185.206	3128
183.60.201.214	808
171.125.103.179	8118
125.118.78.192	808
221.227.231.79	8088
180.160.217.174	8118
180.110.41.160	808
123.97.13.112	8998
115.227.104.167	808
114.232.81.151	8088
183.141.153.121	3128
171.105.27.154	8118
113.243.30.4	8998
218.2.184.37	8118
125.34.89.10	8118
117.95.133.215	8118
111.73.59.253	8998
114.232.82.175	8088
125.121.121.94	808
221.227.231.70	8088
125.121.118.254	808
180.120.205.230	8088
114.231.227.113	8088
183.141.158.139	3128
182.90.22.145	80
115.195.225.145	8118
171.38.79.11	8118
123.170.117.248	8118
113.14.60.17	8118
119.109.113.73	8118
183.47.71.109	8998
121.204.165.225	8118
123.170.204.125	8998
27.159.126.118	8118
60.176.239.183	808
171.109.33.98	8118
114.85.122.224	8118
27.159.125.212	8118
123.166.81.202	80
27.159.126.158	8118
114.99.13.197	808
27.159.124.40	8118
117.68.161.73	8998
218.161.1.189	3128
58.154.193.153	8998
117.65.91.207	8998
122.96.59.105	82
115.204.27.187	808
27.159.125.194	8118
183.141.149.144	3128
113.118.190.33	8118
125.118.77.108	808
222.181.228.161	8118
222.169.193.162	8099
223.247.188.88	8118
125.124.80.225	808
182.121.243.179	8118
61.52.73.254	8118
123.150.108.70	8888
124.91.147.156	8118
116.25.161.138	8118
171.118.160.155	8118
122.96.73.139	8118
113.139.63.86	8998
223.148.24.87	8118
115.46.87.198	8118
124.133.79.59	8118
122.96.59.99	80
124.112.201.123	8118
27.159.127.59	8118
60.21.209.114	8080
27.197.93.54	8118
125.118.244.161	808
116.2.83.243	8118
14.155.118.10	8118
124.235.182.200	80
36.97.105.229	8998
111.227.122.71	8118
124.127.126.9	808
222.211.53.201	8118
42.48.39.78	808
101.200.143.32	808
125.118.240.221	808
49.89.223.116	8998
